,state,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViralIncrease
1,AL,3084.0,0,1174.0,0,1232975.0,3158,204857.0,173854.0,1170,84471.0,1406829.0,4138,0,4138
2,AR,2108.0,23,786.0,62,1324655.0,7716,122811.0,111761.0,945,108201.0,1436416.0,8545,0,8545
4,AZ,6164.0,0,1232.0,9,1630206.0,10142,259699.0,253001.0,435,43460.0,1883207.0,10547,10547,0
6,CO,2168.0,0,1134.0,20,1210972.0,10965,130984.0,123351.0,3017,8667.0,2245385.0,30597,13934,0
7,CT,4698.0,27,496.0,0,2498115.0,86636,81463.0,76256.0,3338,9800.0,2579578.0,89974,0,89686
9,DE,719.0,1,119.0,0,340672.0,1996,26908.0,25697.0,305,14158.0,593799.0,6237,2301,0
12,GU,90.0,1,75.0,0,67481.0,718,5473.0,5375.0,240,3654.0,72954.0,958,939,1784
13,HI,221.0,1,75.0,4,295153.0,0,16179.0,15947.0,128,11958.0,566994.0,4724,0,0
14,IA,1849.0,7,1034.0,0,800699.0,5401,144922.0,144922.0,4381,101158.0,945621.0,9782,9834,0
15,ID,686.0,3,320.0,19,345543.0,2134,72961.0,62765.0,649,32702.0,408308.0,2739,2739,3961
19,KY,1576.0,11,1133.0,430,1983502.0,36353,122567.0,102373.0,1729,22942.0,2085875.0,38911,0,38911
20,LA,6048.0,12,652.0,0,2705091.0,5115,193372.0,188352.0,391,172210.0,2898463.0,5506,5506,0
21,MA,10163.0,14,588.0,0,2743519.0,12998,172727.0,167929.0,1328,131646.0,6767987.0,47461,14182,47461
22,MD,4221.0,9,707.0,103,1882274.0,9978,155371.0,155371.0,1375,8297.0,3678109.0,23650,11353,23650
23,ME,153.0,1,49.0,7,690515.0,21894,7888.0,7030.0,195,6036.0,698403.0,22089,0,22359
24,MI,8008.0,63,2815.0,0,5130002.0,145044,238308.0,216804.0,9305,128981.0,5368310.0,154349,0,87225
25,MN,2675.0,19,1084.0,144,1834067.0,10347,184788.0,183284.0,3926,149766.0,3103434.0,25468,14106,0
28,MS,3443.0,0,718.0,186,873863.0,36655,127205.0,108533.0,516,111430.0,1001068.0,37171,0,39818
29,MT,457.0,1,470.0,15,500860.0,13948,40053.0,40053.0,374,23825.0,540913.0,14322,0,14322
30,NC,4615.0,8,1169.0,0,4104756.0,33034,294860.0,281679.0,1521,261719.0,4399616.0,34555,0,34500
31,ND,497.0,17,383.0,25,255540.0,347,55458.0,55458.0,1153,43949.0,907372.0,6924,1500,7482
32,NE,703.0,0,794.0,9,546168.0,2276,83969.0,83969.0,1574,48689.0,1039698.0,7423,3853,7423
33,NH,489.0,0,56.0,0,350845.0,505,12699.0,12699.0,211,10153.0,665787.0,2707,716,2707
34,NJ,16440.0,11,1537.0,36,4780634.0,69586,256653.0,256653.0,2058,38322.0,5037287.0,71644,0,73657
35,NM,1118.0,14,437.0,31,1207601.0,10548,54881.0,54881.0,1210,23205.0,1262482.0,11758,0,11758
36,NV,1852.0,1,891.0,0,739959.0,3733,110982.0,110982.0,960,2550.0,1344308.0,8676,4693,0
37,NY,25973.0,26,1444.0,0,15244050.0,108272,532180.0,532180.0,3144,80764.0,15776230.0,111416,0,0
38,OH,5524.0,7,2533.0,154,4663152.0,44960,254974.0,241095.0,4706,186254.0,4918126.0,49666,0,49526
39,OK,1444.0,6,1045.0,51,1571321.0,0,138455.0,138455.0,2197,116882.0,1709776.0,2197,0,0
40,OR,734.0,4,318.0,85,863522.0,4669,51155.0,48564.0,707,5870.0,914677.0,5376,16972,0
41,PA,9024.0,4,1827.0,0,2455856.0,14221,234296.0,221437.0,3402,171036.0,2690152.0,17623,17216,80791
42,PR,882.0,10,544.0,0,305972.0,0,38581.0,38474.0,481,33354.0,344553.0,481,0,0
43,RI,1233.0,1,212.0,0,427022.0,1181,38009.0,38009.0,266,2958.0,1257639.0,3975,1447,0
44,SC,4041.0,5,746.0,30,1780834.0,7420,186391.0,176373.0,703,96909.0,1967225.0,8123,0,8063
45,SD,537.0,1,566.0,43,222492.0,861,56311.0,53486.0,907,39508.0,278803.0,1768,1768,4387
46,TN,3610.0,15,1705.0,54,3640461.0,49173,287770.0,269747.0,5919,252515.0,3928231.0,55092,0,54580
47,TX,18769.0,26,6103.0,0,7886923.0,108300,963019.0,963019.0,6785,820156.0,8849942.0,115085,0,115085
48,UT,661.0,2,460.0,78,990535.0,6424,134868.0,127283.0,2247,94929.0,1505580.0,12787,8412,12787
49,VA,3713.0,6,1127.0,161,2625610.0,14723,193477.0,177240.0,1302,21618.0,2802850.0,15744,0,0
51,VT,59.0,0,11.0,0,192379.0,389,2415.0,2415.0,23,1931.0,446327.0,7499,412,7499
53,WI,2410.0,18,2003.0,100,1926518.0,9717,286380.0,271770.0,4470,210318.0,3597294.0,32557,14077,0
54,WV,530.0,28,290.0,0,828280.0,7223,28805.0,26010.0,401,21301.0,857085.0,7624,0,7518
55,WY,114.0,0,172.0,15,127148.0,3379,18010.0,15311.0,700,10699.0,145158.0,4079,4819,14222
56,AK,84.0,0,119.0,0,762602.0,0,19826.0,19826.0,520,7161.0,781301.0,0,0,0
57,AL,3084.0,2,1060.0,0,1229817.0,5222,203687.0,172874.0,1205,84471.0,1402691.0,6323,0,6323
58,AR,2085.0,17,633.0,19,1316939.0,8462,121866.0,110932.0,1038,107287.0,1427871.0,9378,0,9378
60,AZ,6164.0,17,1185.0,32,1620064.0,12023,259264.0,252596.0,1880,43232.0,1872660.0,13825,13825,0
62,CO,2168.0,0,1087.0,86,1200007.0,13630,127967.0,120382.0,3498,8562.0,2214788.0,37697,17044,0
63,CT,4671.0,0,402.0,0,2411479.0,0,78125.0,73206.0,0,9800.0,2489604.0,0,0,0
65,DE,718.0,2,116.0,0,338676.0,2003,26603.0,25395.0,345,14019.0,587562.0,5281,2348,0
68,GU,89.0,0,73.0,0,66763.0,369,5233.0,5154.0,120,3402.0,71996.0,489,489,0
69,HI,220.0,1,75.0,10,295153.0,0,16051.0,15819.0,128,11958.0,562270.0,6174,0,0
70,IA,1842.0,13,992.0,0,795298.0,4267,140541.0,140541.0,3313,100747.0,935839.0,7580,7586,0
71,ID,683.0,4,320.0,45,343409.0,1431,72312.0,62160.0,1403,32330.0,405569.0,2481,2481,3930
75,KY,1565.0,4,1153.0,0,1947149.0,0,120838.0,100791.0,1177,21513.0,2046964.0,0,0,0
76,LA,6036.0,20,622.0,0,2699976.0,25215,192981.0,187961.0,1266,172210.0,2892957.0,26481,26481,0
77,MA,10149.0,20,568.0,0,2730521.0,18330,171399.0,166745.0,1823,131646.0,6720526.0,80572,20139,80572
78,MD,4212.0,11,655.0,103,1872296.0,9897,153996.0,153996.0,1081,8291.0,3654459.0,30266,10978,30266
79,ME,152.0,0,48.0,2,668621.0,0,7693.0,6843.0,90,5935.0,676314.0,90,0,0
80,MI,7945.0,0,2425.0,0,4984958.0,0,229003.0,207794.0,0,128981.0,5213961.0,0,0,0
81,MN,2656.0,31,1038.0,133,1823720.0,15231,180862.0,179525.0,5908,146311.0,3077966.0,42572,21079,0
84,MS,3443.0,10,710.0,0,837208.0,0,126689.0,108217.0,804,105839.0,963897.0,804,0,0
85,MT,456.0,11,458.0,12,486912.0,684,39679.0,39679.0,731,23793.0,526591.0,1415,0,1415
86,NC,4607.0,2,1147.0,0,4071722.0,38811,293339.0,280213.0,2094,246318.0,4365061.0,40905,0,40824
87,ND,480.0,0,408.0,23,255193.0,426,54305.0,54305.0,1101,43103.0,900448.0,6064,1527,6491
88,NE,703.0,2,760.0,34,543892.0,3053,82395.0,82395.0,1702,47793.0,1032275.0,10429,4754,10429
89,NH,489.0,0,55.0,3,350340.0,875,12488.0,12488.0,247,10096.0,663080.0,5485,1122,5485
90,NJ,16429.0,4,1439.0,50,4711048.0,0,254595.0,254595.0,2013,38016.0,4965643.0,2013,0,0
91,NM,1104.0,16,441.0,71,1197053.0,10872,53671.0,53671.0,1277,23088.0,1250724.0,12149,0,12149
92,NV,1851.0,1,826.0,0,736226.0,2968,110022.0,110022.0,1276,2525.0,1335632.0,9254,4244,0
93,NY,25947.0,19,1396.0,0,15135778.0,142214,529036.0,529036.0,3428,80646.0,15664814.0,145642,0,0
94,OH,5517.0,11,2286.0,102,4618192.0,55011,250268.0,236529.0,4541,184556.0,4868460.0,59552,0,59369
95,OK,1438.0,9,1045.0,132,1571321.0,0,136258.0,136258.0,4507,115030.0,1707579.0,4507,0,0
96,OR,730.0,1,266.0,0,858853.0,5341,50448.0,46120.0,861,5870.0,909301.0,6202,0,0
97,PA,9020.0,5,1735.0,0,2441635.0,15514,230894.0,218442.0,2909,168708.0,2672529.0,18423,18219,0
98,PR,872.0,10,518.0,0,305972.0,0,38100.0,37999.0,533,33315.0,344072.0,533,0,0
99,RI,1232.0,1,212.0,26,425841.0,2501,37743.0,37743.0,568,2958.0,1253664.0,13840,3069,0
100,SC,4036.0,21,718.0,20,1773414.0,13228,185688.0,175730.0,946,96422.0,1959102.0,14174,0,14096
101,SD,536.0,13,546.0,76,221631.0,924,55404.0,52603.0,1428,39118.0,277035.0,2352,2352,4906
102,TN,3595.0,5,1656.0,33,3591288.0,32886,281851.0,264340.0,3636,250818.0,3873139.0,36522,0,36024
103,TX,18743.0,43,6080.0,0,7778623.0,94182,956234.0,956234.0,5685,820215.0,8734857.0,99867,0,99867
104,UT,659.0,1,437.0,64,984111.0,6352,132621.0,132621.0,2386,93763.0,1492793.0,12256,8435,12256
105,VA,3707.0,3,1090.0,81,2610887.0,19721,192175.0,176219.0,1302,21494.0,2787106.0,20753,0,0
107,VT,59.0,0,6.0,0,191990.0,814,2392.0,2392.0,45,1923.0,438828.0,4487,859,4487
109,WI,2392.0,11,1860.0,112,1916801.0,8481,281910.0,267410.0,4407,206944.0,3564737.0,24662,12761,0
110,WV,502.0,0,288.0,0,821057.0,11095,28404.0,25715.0,662,21032.0,849461.0,11757,0,11632
111,WY,114.0,9,148.0,0,123769.0,0,17310.0,14691.0,713,10315.0,141079.0,713,0,0
112,AK,84.0,0,105.0,0,762602.0,0,19306.0,19306.0,607,7157.0,781301.0,0,0,0
113,AL,3082.0,33,1015.0,0,1224595.0,7593,202482.0,171773.0,1768,84471.0,1396368.0,8920,0,8920
114,AR,2068.0,12,633.0,14,1308477.0,10213,120828.0,110016.0,1598,106594.0,1418493.0,11491,0,11491
116,AZ,6147.0,38,1139.0,152,1608041.0,14060,257384.0,250794.0,2620,42950.0,1858835.0,16524,16524,0
118,CO,2168.0,10,1041.0,197,1186377.0,12903,124469.0,116968.0,3463,8478.0,2177091.0,35158,16264,0
119,CT,4671.0,0,402.0,0,2411479.0,0,78125.0,73206.0,0,9800.0,2489604.0,0,0,0
121,DE,716.0,0,115.0,0,336673.0,1827,26258.0,25057.0,223,13888.0,582281.0,5159,2050,0
124,GU,89.0,1,82.0,0,66394.0,367,5113.0,5034.0,36,3403.0,71507.0,403,403,0
125,HI,219.0,0,69.0,9,295153.0,0,15923.0,15691.0,138,11958.0,556096.0,4293,0,0
126,IA,1829.0,11,901.0,0,791031.0,2524,137228.0,137228.0,3718,100359.0,928259.0,6242,6252,0
127,ID,679.0,8,320.0,37,341978.0,3322,70909.0,61110.0,1330,31969.0,403088.0,4367,4367,4607
132,LA,6016.0,0,644.0,0,2674761.0,0,191715.0,186695.0,0,172210.0,2866476.0,0,0,0
133,MA,10129.0,23,535.0,0,2712191.0,21606,169576.0,164936.0,2302,131646.0,6639954.0,92286,23806,92286
134,MD,4201.0,7,632.0,90,1862399.0,10734,152915.0,152915.0,1410,8284.0,3624193.0,36496,12144,36496
135,ME,152.0,2,42.0,10,668621.0,0,7603.0,6762.0,159,5906.0,676224.0,159,0,0
136,MI,7945.0,65,2425.0,0,4984958.0,0,229003.0,207794.0,6494,128981.0,5213961.0,6494,0,75350
137,MN,2625.0,34,1038.0,201,1808489.0,14947,174954.0,173677.0,4647,142800.0,3035394.0,44429,19394,0
140,MS,3433.0,14,710.0,0,837208.0,0,125885.0,107926.0,1031,105839.0,963093.0,1031,0,0
141,MT,445.0,26,446.0,18,486228.0,579,38948.0,38948.0,1001,23825.0,525176.0,1580,0,1580
142,NC,4605.0,23,1196.0,0,4032911.0,44104,291245.0,278200.0,2676,246318.0,4324156.0,46780,0,46514
143,ND,480.0,0,374.0,41,254767.0,704,53204.0,53204.0,1602,42251.0,894384.0,9652,2306,10311
144,NE,701.0,27,748.0,45,540839.0,4808,80693.0,80693.0,2681,47259.0,1021846.0,21621,7490,21621
145,NH,489.0,1,49.0,1,349465.0,2747,12241.0,12241.0,229,9980.0,657595.0,6551,2976,6551
146,NJ,16425.0,9,1392.0,72,4711048.0,96992,252582.0,252582.0,3202,38016.0,4963630.0,100194,0,100194
147,NM,1088.0,6,402.0,51,1186181.0,7086,52394.0,52394.0,1284,22811.0,1238575.0,8370,0,8370
148,NV,1850.0,5,826.0,0,733258.0,4766,108746.0,108746.0,1824,2525.0,1326378.0,13886,6590,0
149,NY,25928.0,18,1381.0,0,14993564.0,159704,525608.0,525608.0,3587,80494.0,15519172.0,163291,0,0
150,OH,5506.0,12,2188.0,149,4563181.0,102545,245727.0,232171.0,5549,182878.0,4808908.0,108094,0,112835
151,OK,1429.0,0,1045.0,0,1571321.0,13471,131751.0,131751.0,0,113227.0,1703072.0,13471,0,15003
152,OR,729.0,13,266.0,0,853512.0,4518,49587.0,46120.0,979,5870.0,903099.0,5497,0,0
153,PA,9015.0,40,1687.0,0,2426121.0,17755,227985.0,215737.0,4035,168708.0,2654106.0,21790,21234,55621
154,PR,862.0,0,526.0,0,305972.0,0,37567.0,37490.0,663,32475.0,343539.0,663,0,0
155,RI,1231.0,7,210.0,70,423340.0,6073,37175.0,37175.0,795,2935.0,1239824.0,21908,6868,0
156,SC,4015.0,10,740.0,58,1760186.0,45961,184742.0,174862.0,1870,95754.0,1944928.0,47831,0,47637
157,SD,523.0,13,515.0,85,220707.0,1156,53976.0,51343.0,1337,38403.0,274683.0,2493,2493,5051
158,TN,3590.0,49,1687.0,27,3558402.0,40139,278215.0,261202.0,5071,249162.0,3836617.0,45210,0,44496
159,TX,18700.0,111,6068.0,0,7684441.0,73214,950549.0,950549.0,8010,811330.0,8634990.0,81224,0,81224
160,UT,658.0,9,420.0,98,977759.0,8410,130235.0,130235.0,2956,92656.0,1480537.0,16981,10976,16981
161,VA,3704.0,22,1062.0,80,2591166.0,21582,190873.0,175187.0,2103,21441.0,2766353.0,23124,0,0
163,VT,59.0,1,4.0,0,191176.0,774,2347.0,2347.0,21,1913.0,434341.0,5490,795,5490
165,WI,2381.0,48,1806.0,173,1908320.0,11863,277503.0,263130.0,7521,202879.0,3540075.0,43054,18928,0
